"","sex","age","agegr","placesize","region","edu","eduspec","socprof","unempdur","income","marital","ls","depress","trust","trustfam","trustneigh","sport","nofriend","smoke","nociga","alcabuse","alcsol","workab","wkabdur","wkabint","wkabintdur","emcc","englang","height","weight","bmi"
"939","FEMALE",50,"45-59","URBAN 20,000-100,000","Pomorskie","POST-SECONDARY OR HIGHER","law","EMPLOYED IN PUBLIC SECTOR",0,0,"MARRIED","PLEASED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",2,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",176,59,19.0470041322314
"940","MALE",61,"60-64","RURAL AREAS","Kujawsko-pomorskie","PRIMARY/NO EDUCATION","no specialisation","OTHER ECONOMICALLY INACTIVE",24,0,"MARRIED","PLEASED",7,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",4,"YES",10,"NO","NO","NO","0","NO",NA,NA,"NONE",176,90,29.0547520661157
"941","FEMALE",50,"45-59","URBAN 200,000-500,000","Slaskie","SECONDARY","healthcare","EMPLOYED IN PRIVATE SECTOR",0,1000,"MARRIED","DELIGHTED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",2,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",161,55,21.2183171945527
"942","FEMALE",26,"25-34","URBAN 100,000-200,000","Dolnoslaskie","POST-SECONDARY OR HIGHER","services for the population and transport services","UNEMPLOYED",12,0,"MARRIED","DELIGHTED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",165,100,36.7309458218549
"943","FEMALE",36,"35-44","RURAL AREAS","Lubelskie","VOCATIONAL/GRAMMAR","production and processing","UNEMPLOYED",0,0,"MARRIED","MIXED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",164,50,18.5901249256395
"944","MALE",25,"25-34","RURAL AREAS","Mazowieckie","SECONDARY","agriculture, forestry, fishing","OTHER ECONOMICALLY INACTIVE",0,1000,"SINGLE","MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",12,"YES",10,"NO","NO","NO","0","YES, TO EU COUNTRY","IT DEPENDS","GERMANY","PASSIVE",184,75,22.1526465028355
"945","FEMALE",83,"65+","URBAN 500,000 AND OVER","Mazowieckie","POST-SECONDARY OR HIGHER","law","RETIRED",0,250,"WIDOWED","PLEASED",6,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",8,"YES",15,"NO","NO","NO","0","NO",NA,NA,"NONE",155,54,22.4765868886576
"946","MALE",37,"35-44","RURAL AREAS","Malopolskie","SECONDARY","agriculture, forestry, fishing","FARMER",0,1800,"MARRIED","PLEASED",0,"IT`S DIFFICULT TO TELL","YES","NO OPINION","YES",5,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",175,67,21.8775510204082
"947","MALE",45,"45-59","RURAL AREAS","Lubuskie","VOCATIONAL/GRAMMAR","technical science","EMPLOYED IN PRIVATE SECTOR",0,1500,"DIVORCED","MOSTLY SATISFIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"YES",20,"NO","NO","NO","0","NO",NA,NA,"NONE",174,75,24.7720967102656
"948","MALE",27,"25-34","RURAL AREAS","Malopolskie","VOCATIONAL/GRAMMAR","technical science","EMPLOYED IN PRIVATE SECTOR",0,500,"SINGLE","PLEASED",1,"MOST PEOPLE CAN BE TRUSTED","YES","NO","NO",6,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",184,85,25.1063327032136
"949","FEMALE",36,"35-44","URBAN 20,000-100,000","Kujawsko-pomorskie","SECONDARY","no specialisation","PUPIL OR STUDENT",0,1300,"MARRIED","MOSTLY DISSATISFIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",5,"YES",20,"NO","NO","NO","0","YES, TO EU COUNTRY","FOREVER","GREAT BRITAIN","PASSIVE",152,56,24.2382271468144
"950","MALE",17,"16-24","URBAN BELOW 20,000","Warminsko-mazurskie","VOCATIONAL/GRAMMAR","no specialisation","PUPIL OR STUDENT",0,0,"SINGLE","DELIGHTED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",3,"NO",0,"NO","NO","NO","0","YES, TO EU COUNTRY","IT DEPENDS","GERMANY","PASSIVE",170,73,25.2595155709343
"951","FEMALE",62,"60-64","RURAL AREAS","Malopolskie","VOCATIONAL/GRAMMAR","technical science","RETIRED",0,800,"MARRIED","MIXED",10,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",12,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",160,69,26.953125
"952","FEMALE",40,"35-44","URBAN 200,000-500,000","Slaskie","SECONDARY","no specialisation","EMPLOYED IN PUBLIC SECTOR",0,0,"MARRIED","MIXED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",164,74,27.5133848899465
"953","MALE",45,"45-59","RURAL AREAS","Lubelskie","VOCATIONAL/GRAMMAR","other","FARMER",5,303,"MARRIED","PLEASED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",14,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",178,92,29.0367377856331
"954","FEMALE",29,"25-34","URBAN 20,000-100,000","Mazowieckie","SECONDARY","no specialisation","EMPLOYED IN PRIVATE SECTOR",4,1400,"MARRIED","MOSTLY SATISFIED",7,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",25,"NO",0,"YES","YES","NO","0","NO",NA,NA,"PASSIVE",162,48,18.2898948331047
"955","MALE",32,"25-34","URBAN 500,000 AND OVER","Malopolskie","POST-SECONDARY OR HIGHER","not applicable","SELF-EMPLOYED",0,7500,"MARRIED","PLEASED",3,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",6,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",175,75,24.4897959183673
"956","MALE",23,"16-24","URBAN 100,000-200,000","Zachodnio-pomorskie","VOCATIONAL/GRAMMAR","no specialisation","EMPLOYED IN PRIVATE SECTOR",6,0,"SINGLE","MOSTLY SATISFIED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",1,"YES",10,"NO","NO","NO","0","NO",NA,NA,"NONE",170,70,24.2214532871972
"957","FEMALE",58,"45-59","URBAN 500,000 AND OVER","Mazowieckie","SECONDARY","social sciences","RETIRED",0,2400,"SINGLE","MIXED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",8,"YES",5,"NO","NO","NO","0","NO",NA,NA,"NONE",160,53,20.703125
"958","MALE",18,"16-24","RURAL AREAS","Mazowieckie","VOCATIONAL/GRAMMAR","no specialisation","PUPIL OR STUDENT",0,0,"SINGLE","PLEASED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",10,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",170,65,22.4913494809689
"959","MALE",50,"45-59","RURAL AREAS","Zachodnio-pomorskie","SECONDARY","agriculture, forestry, fishing","FARMER",0,2000,"MARRIED","MOSTLY SATISFIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"YES",30,"NO","NO","NO","0","NO",NA,NA,"NONE",178,98,30.9304380760005
"960","FEMALE",64,"60-64","RURAL AREAS","Lodzkie","SECONDARY","agriculture, forestry, fishing","RETIRED",24,616,"WIDOWED","UNHAPPY",6,"IT`S DIFFICULT TO TELL","YES","YES","YES",20,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",162,73,27.8158817253467
"961","FEMALE",54,"45-59","URBAN 100,000-200,000","Lubelskie","POST-SECONDARY OR HIGHER","biological sciences","RETIRED",0,1230,"MARRIED","PLEASED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",4,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",160,58,22.65625
"962","FEMALE",53,"45-59","URBAN 100,000-200,000","Slaskie","VOCATIONAL/GRAMMAR","services for the population and transport services","UNEMPLOYED",6,600,"MARRIED","PLEASED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"NO",0,"YES","YES","NO","0","NO",NA,NA,"NONE",158,55,22.0317256849864
"963","MALE",22,"16-24","URBAN 100,000-200,000","Lodzkie","PRIMARY/NO EDUCATION","technical science","OTHER ECONOMICALLY INACTIVE",12,0,"SINGLE","MOSTLY SATISFIED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",10,"YES",20,"NO","NO","YES","3","YES, TO EU COUNTRY",NA,"NETHERLANDS","PASSIVE",180,70,21.6049382716049
"964","MALE",49,"45-59","URBAN 500,000 AND OVER","Mazowieckie","POST-SECONDARY OR HIGHER","computer science","EMPLOYED IN PRIVATE SECTOR",0,0,"MARRIED","MOSTLY SATISFIED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",0,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",180,112,34.5679012345679
"965","FEMALE",58,"45-59","RURAL AREAS","Mazowieckie","PRIMARY/NO EDUCATION","no specialisation","RETIRED",0,1500,"MARRIED","MIXED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",4,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",159,74,29.270994027135
"966","FEMALE",34,"25-34","URBAN 500,000 AND OVER","Dolnoslaskie","VOCATIONAL/GRAMMAR","services for the population and transport services","EMPLOYED IN PRIVATE SECTOR",0,2500,"MARRIED","PLEASED",7,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",2,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",170,72,24.9134948096886
"967","FEMALE",48,"45-59","RURAL AREAS","Malopolskie","PRIMARY/NO EDUCATION","no specialisation","UNEMPLOYED",15,0,"MARRIED","MOSTLY SATISFIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",170,60,20.7612456747405
"968","FEMALE",65,"65+","URBAN 200,000-500,000","Slaskie","POST-SECONDARY OR HIGHER","healthcare","RETIRED",24,1500,"MARRIED","PLEASED",2,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",3,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",158,77,30.8444159589809
"969","MALE",21,"16-24","URBAN 100,000-200,000","Wielkopolskie","VOCATIONAL/GRAMMAR","no specialisation","PUPIL OR STUDENT",0,0,"SINGLE","MOSTLY DISSATISFIED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",4,"NO",0,"YES","NO","NO","0","NO",NA,NA,"NONE",196,89,23.1674302374011
"970","FEMALE",58,"45-59","RURAL AREAS","Swietokrzyskie","PRIMARY/NO EDUCATION","no specialisation","RETIRED",0,620,"MARRIED","MOSTLY SATISFIED",14,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",9,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",153,72,30.7574009996155
"971","MALE",26,"25-34","RURAL AREAS","Malopolskie","SECONDARY","production and processing","EMPLOYED IN PRIVATE SECTOR",0,1100,"SINGLE","MIXED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",15,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",176,86,27.7634297520661
"972","FEMALE",41,"35-44","RURAL AREAS","Mazowieckie","VOCATIONAL/GRAMMAR","production and processing","UNEMPLOYED",0,0,"DIVORCED","MOSTLY DISSATISFIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"NO",0,"NO","YES","NO","0","NO",NA,NA,"NONE",170,64,22.1453287197232
"973","FEMALE",42,"35-44","URBAN 100,000-200,000","Wielkopolskie","POST-SECONDARY OR HIGHER","social welfare","LONG-TERM SICK/DISABLED",0,800,"DIVORCED","TERRIBLE",7,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",0,"YES",10,"YES","NO","NO","0","NO",NA,NA,"ACTIVE",164,53,19.7055324211779
"974","MALE",41,"35-44","RURAL AREAS","Opolskie","VOCATIONAL/GRAMMAR","technical science","EMPLOYED IN PRIVATE SECTOR",0,3300,"MARRIED","PLEASED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",10,"NO",0,"NO","NO","YES","50","NO",NA,NA,"NONE",186,103,29.7722280032374
"975","MALE",43,"35-44","URBAN 100,000-200,000","Slaskie","POST-SECONDARY OR HIGHER","liberal arts","EMPLOYED IN PRIVATE SECTOR",0,2000,"MARRIED","MOSTLY SATISFIED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",4,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",188,105,29.7080126754187
"976","FEMALE",78,"65+","RURAL AREAS","Wielkopolskie","PRIMARY/NO EDUCATION","no specialisation","RETIRED",0,995,"WIDOWED","MIXED",16,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",0,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",182,83,25.0573602221954
"977","FEMALE",32,"25-34","RURAL AREAS","Dolnoslaskie","SECONDARY","no specialisation","UNEMPLOYED",22,0,"MARRIED","PLEASED",6,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",2,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",158,57,22.8328793462586
"978","MALE",21,"16-24","URBAN 500,000 AND OVER","Dolnoslaskie","POST-SECONDARY OR HIGHER","no specialisation","PUPIL OR STUDENT",0,0,"SINGLE","PLEASED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",15,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",175,70,22.8571428571429
"979","MALE",38,"35-44","RURAL AREAS","Podkarpackie","VOCATIONAL/GRAMMAR","technical science","EMPLOYED IN PUBLIC SECTOR",0,1800,"MARRIED","MIXED",6,"IT`S DIFFICULT TO TELL","YES","YES","YES",2,"NO",0,"NO","NO","YES","22","YES, TO NON-EU COUNTRY",NA,NA,"NONE",180,95,29.320987654321
"980","FEMALE",32,"25-34","URBAN 200,000-500,000","Dolnoslaskie","POST-SECONDARY OR HIGHER","pedagogics","EMPLOYED IN PUBLIC SECTOR",0,1670,"MARRIED","PLEASED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",10,"YES",6,"NO","YES","NO","0","NO",NA,NA,"PASSIVE",167,60,21.5138585105239
"981","FEMALE",70,"65+","RURAL AREAS","Podlaskie","PRIMARY/NO EDUCATION","no specialisation","RETIRED",0,680,"WIDOWED","MOSTLY SATISFIED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",160,60,23.4375
"982","MALE",51,"45-59","RURAL AREAS","Wielkopolskie","VOCATIONAL/GRAMMAR","technical science","EMPLOYED IN PRIVATE SECTOR",0,1600,"MARRIED","MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",3,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",177,98,31.2809218296147
"983","MALE",63,"60-64","URBAN 20,000-100,000","Slaskie","VOCATIONAL/GRAMMAR","technical science","RETIRED",24,1990,"DIVORCED","MIXED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",5,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",169,78,27.3099681383705
"984","FEMALE",30,"25-34","URBAN BELOW 20,000","Mazowieckie","SECONDARY","economy and administration","EMPLOYED IN PRIVATE SECTOR",0,0,"MARRIED","PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",4,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",164,52,19.3337299226651
"985","FEMALE",31,"25-34","URBAN 200,000-500,000","Mazowieckie","SECONDARY","architecture and construction","UNEMPLOYED",0,930,"MARRIED","MOSTLY SATISFIED",10,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",10,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",156,43,17.6692965154504
"986","FEMALE",56,"45-59","RURAL AREAS","Podkarpackie","VOCATIONAL/GRAMMAR","art","LONG-TERM SICK/DISABLED",0,1150,"WIDOWED","MIXED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",1,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",170,93,32.1799307958478
"987","FEMALE",75,"65+","URBAN 20,000-100,000","Swietokrzyskie","SECONDARY","no specialisation","RETIRED",24,1333,"MARRIED","MOSTLY SATISFIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",20,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",155,76,31.633714880333
"988","FEMALE",20,"16-24","RURAL AREAS","Kujawsko-pomorskie","SECONDARY","liberal arts","OTHER ECONOMICALLY INACTIVE",0,0,"SINGLE","DELIGHTED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",6,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",171,82,28.0428165931398
"989","FEMALE",59,"45-59","URBAN 100,000-200,000","Slaskie","SECONDARY","services for the population and transport services","UNEMPLOYED",9,540,"WIDOWED","MOSTLY SATISFIED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",5,"YES",20,"NO","NO","NO","0","NO",NA,NA,"NONE",158,44,17.6253805479891
"990","FEMALE",18,"16-24","URBAN 100,000-200,000","Slaskie","VOCATIONAL/GRAMMAR","no specialisation","PUPIL OR STUDENT",0,0,"SINGLE","PLEASED",4,"IT`S DIFFICULT TO TELL","YES","NO OPINION","NO",5,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",174,58,19.1570881226054
"991","FEMALE",53,"45-59","RURAL AREAS","Wielkopolskie","SECONDARY","no specialisation","EMPLOYED IN PRIVATE SECTOR",0,1600,"MARRIED","PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"YES",12,"NO","NO","NO","0","NO",NA,NA,"NONE",158,70,28.0403781445281
"992","MALE",53,"45-59","RURAL AREAS","Podkarpackie","VOCATIONAL/GRAMMAR","technical science","EMPLOYED IN PUBLIC SECTOR",0,1600,"SINGLE","MOSTLY SATISFIED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"YES",10,"NO","NO","NO","0","NO",NA,NA,"NONE",170,83,28.719723183391
"993","MALE",37,"35-44","RURAL AREAS","Podkarpackie","VOCATIONAL/GRAMMAR","architecture and construction","OTHER ECONOMICALLY INACTIVE",24,0,"SINGLE","MOSTLY DISSATISFIED",1,"IT`S DIFFICULT TO TELL","YES","NO OPINION","YES",2,"NO",0,"YES","YES","NO","0","NO",NA,NA,"NONE",168,80,28.3446712018141
"994","MALE",61,"60-64","URBAN 100,000-200,000","Lubelskie","VOCATIONAL/GRAMMAR","technical science","LONG-TERM SICK/DISABLED",0,600,"MARRIED","MIXED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",6,"YES",10,"NO","YES","NO","0","NO",NA,NA,"NONE",178,110,34.7178386567353
"995","MALE",16,"16-24","URBAN 20,000-100,000","Slaskie","PRIMARY/NO EDUCATION","no specialisation","PUPIL OR STUDENT",0,0,"SINGLE","PLEASED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",24,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",165,64,23.5078053259871
"996","FEMALE",63,"60-64","RURAL AREAS","Kujawsko-pomorskie","PRIMARY/NO EDUCATION","no specialisation","UNEMPLOYED",24,700,"WIDOWED","MOSTLY DISSATISFIED",15,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",1,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",160,80,31.25
"997","FEMALE",41,"35-44","RURAL AREAS","Malopolskie","VOCATIONAL/GRAMMAR","services for the population and transport services","FARMER",0,0,"MARRIED","PLEASED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",5,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",153,60,25.6311674996796
"998","MALE",17,"16-24","URBAN 20,000-100,000","Pomorskie","VOCATIONAL/GRAMMAR","no specialisation","PUPIL OR STUDENT",0,0,"SINGLE","PLEASED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",20,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",170,70,24.2214532871972
"999","MALE",54,"45-59","RURAL AREAS","Mazowieckie","PRIMARY/NO EDUCATION","no specialisation","FARMER",0,500,"MARRIED","MOSTLY SATISFIED",10,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"YES",20,"NO","NO","NO","0","NO",NA,NA,"NONE",176,125,40.3538223140496
"1000","MALE",41,"35-44","RURAL AREAS","Podlaskie","VOCATIONAL/GRAMMAR","technical science","FARMER",0,0,"MARRIED","PLEASED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"YES",15,"NO","NO","NO","0","NO",NA,NA,"NONE",178,78,24.6181037747759
"1001","MALE",27,"25-34","URBAN 100,000-200,000","Pomorskie","SECONDARY","no specialisation","EMPLOYED IN PRIVATE SECTOR",0,1300,"SINGLE","MIXED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",5,"YES",25,"NO","NO","NO","0","YES, TO EU COUNTRY","IT DEPENDS","GREAT BRITAIN","PASSIVE",176,73,23.566632231405
"1002","MALE",62,"60-64","URBAN BELOW 20,000","Warminsko-mazurskie","VOCATIONAL/GRAMMAR","services for the population and transport services","UNEMPLOYED",18,0,"MARRIED","PLEASED",7,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",0,"YES",20,"NO","NO","NO","0","NO",NA,NA,"NONE",174,78,25.7629805786762
"1003","MALE",58,"45-59","URBAN 20,000-100,000","Pomorskie","SECONDARY","services for the population and transport services","EMPLOYED IN PUBLIC SECTOR",0,0,"MARRIED","DELIGHTED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",2,"NO",0,"YES","NO","NO","0","NO",NA,NA,"PASSIVE",191,116,31.7973739754941
"1004","MALE",52,"45-59","URBAN 20,000-100,000","Podlaskie","POST-SECONDARY OR HIGHER","technical science","EMPLOYED IN PRIVATE SECTOR",0,1800,"MARRIED","MOSTLY SATISFIED",5,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","YES",1,"NO",0,"NO","NO","NO","0","YES, TO EU COUNTRY","IT DEPENDS",NA,"NONE",173,95,31.7417889003976
"1005","MALE",54,"45-59","RURAL AREAS","Wielkopolskie","VOCATIONAL/GRAMMAR","technical science","EMPLOYED IN PRIVATE SECTOR",0,2000,"MARRIED","MOSTLY SATISFIED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",2,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",178,90,28.4055043555107
"1006","FEMALE",23,"16-24","URBAN 100,000-200,000","Mazowieckie","POST-SECONDARY OR HIGHER","social sciences","PUPIL OR STUDENT",0,1300,"SINGLE","PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",6,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",170,80,27.681660899654
"1007","MALE",83,"65+","URBAN 20,000-100,000","Pomorskie","SECONDARY","no specialisation","RETIRED",0,2700,"MARRIED","PLEASED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",6,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",172,65,21.9713358572201
"1008","FEMALE",31,"25-34","RURAL AREAS","Opolskie","POST-SECONDARY OR HIGHER","pedagogics","EMPLOYED IN PRIVATE SECTOR",7,0,"MARRIED","PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",5,"NO",0,"NO","NO","YES","12","NO",NA,NA,"PASSIVE",170,67,23.1833910034602
"1009","MALE",45,"45-59","RURAL AREAS","Zachodnio-pomorskie","VOCATIONAL/GRAMMAR","production and processing","EMPLOYED IN PRIVATE SECTOR",0,1500,"SINGLE","MIXED",1,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","NO",2,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",170,64,22.1453287197232
"1010","FEMALE",37,"35-44","URBAN 200,000-500,000","Warminsko-mazurskie","POST-SECONDARY OR HIGHER","pedagogics","EMPLOYED IN PRIVATE SECTOR",0,1000,"MARRIED","PLEASED",6,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",4,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",161,69,26.6193433895297
"1011","FEMALE",57,"45-59","URBAN 200,000-500,000","Slaskie","SECONDARY","no specialisation","EMPLOYED IN PUBLIC SECTOR",0,0,"WIDOWED","MOSTLY SATISFIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",167,75,26.8923231381548
"1012","MALE",60,"60-64","URBAN 500,000 AND OVER","Malopolskie","VOCATIONAL/GRAMMAR","technical science","EMPLOYED IN PUBLIC SECTOR",0,1700,"MARRIED","MIXED",3,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",15,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",176,80,25.8264462809917
"1013","FEMALE",64,"60-64","RURAL AREAS","Mazowieckie","PRIMARY/NO EDUCATION","no specialisation","LONG-TERM SICK/DISABLED",0,600,"MARRIED","PLEASED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",0,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",160,96,37.5
"1014","FEMALE",44,"35-44","URBAN 200,000-500,000","Opolskie","POST-SECONDARY OR HIGHER","pedagogics","EMPLOYED IN PUBLIC SECTOR",0,2000,"SINGLE","MOSTLY SATISFIED",5,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",9,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",172,61,20.619253650622
"1015","FEMALE",62,"60-64","URBAN 200,000-500,000","Dolnoslaskie","SECONDARY","no specialisation","RETIRED",2,900,"SINGLE","UNHAPPY",9,"ONE CAN`T BE TOO CAREFUL","NO","NO OPINION","YES",0,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",158,68,27.2392244832559
"1016","FEMALE",31,"25-34","URBAN 20,000-100,000","Kujawsko-pomorskie","POST-SECONDARY OR HIGHER","liberal arts","SELF-EMPLOYED",3,0,"SINGLE","PLEASED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",4,"NO",0,"YES","YES","NO","0","NO",NA,NA,"ACTIVE",178,69,21.7775533392248
"1017","MALE",61,"60-64","URBAN BELOW 20,000","Lubelskie","SECONDARY","no specialisation","RETIRED",0,1400,"MARRIED","PLEASED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",180,105,32.4074074074074
"1018","MALE",34,"25-34","URBAN 500,000 AND OVER","Mazowieckie","POST-SECONDARY OR HIGHER","economy and administration","EMPLOYED IN PRIVATE SECTOR",0,2000,"SINGLE","PLEASED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",10,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",187,85,24.3072435585805
"1019","FEMALE",24,"16-24","URBAN 200,000-500,000","Slaskie","PRIMARY/NO EDUCATION","no specialisation","UNEMPLOYED",12,0,"SINGLE","MIXED",0,"MOST PEOPLE CAN BE TRUSTED","YES","NO","YES",7,"YES",10,"NO","NO","NO","0","NO",NA,NA,"NONE",152,45,19.4771468144044
